,$US,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,XLV,portfolioreturn,portfoliostandarddeviation,returnoverrisk
100,0.02,0.03,0.01,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.03,0.25,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.05,0.01,0.07,0.04,0.11,0.02,0.03,0.218491730578,0.00501485409692,43.568910751
101,0.02,0.02,0.05,0.06,0.04,0.02,0.03,0.08,0.02,0.01,0.07,0.04,0.06,0.04,0.04,0.02,0.1,0.11,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.193697742586,0.00483540851395,40.0581961229
102,0.03,0.08,0.13,0.02,0.02,0.08,0.06,0.02,0.03,0.01,0.02,0.03,0.05,0.02,0.01,0.02,0.08,0.07,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.171499184385,0.00502053545423,34.1595405407
103,0.03,0.06,0.01,0.02,0.01,0.06,0.05,0.04,0.03,0.02,0.06,0.01,0.01,0.02,0.05,0.02,0.12,0.13,0.01,0.02,0.02,0.06,0.01,0.01,0.02,0.06,0.02,0.02,0.21434308705,0.00535259313938,40.0447187874
104,0.03,0.05,0.02,0.01,0.02,0.02,0.01,0.01,0.1,0.03,0.06,0.01,0.01,0.02,0.02,0.01,0.03,0.11,0.02,0.05,0.07,0.02,0.14,0.01,0.01,0.07,0.01,0.03,0.171917579081,0.00492069481154,34.9376634124
105,0.02,0.01,0.01,0.01,0.01,0.03,0.16,0.02,0.03,0.07,0.04,0.01,0.01,0.03,0.05,0.03,0.01,0.01,0.04,0.12,0.01,0.05,0.02,0.02,0.03,0.04,0.09,0.02,0.194152711962,0.00501146522859,38.7417058896
106,0.02,0.04,0.02,0.05,0.03,0.02,0.03,0.03,0.02,0.04,0.04,0.08,0.02,0.01,0.01,0.01,0.03,0.01,0.03,0.04,0.03,0.05,0.04,0.16,0.02,0.01,0.03,0.08,0.241174403329,0.00391773320904,61.5596801674
107,0.02,0.01,0.07,0.14,0.1,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.05,0.02,0.01,0.02,0.02,0.01,0.06,0.03,0.04,0.02,0.01,0.05,0.02,0.04,0.14,0.159112289958,0.00362524454117,43.8900846967
108,0.01,0.05,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.03,0.16,0.02,0.01,0.05,0.02,0.05,0.03,0.02,0.02,0.03,0.11,0.03,0.01,0.12,0.04,0.03,0.03,0.02,0.229883364075,0.00399016340411,57.6125187852
109,0.02,0.02,0.05,0.01,0.12,0.01,0.01,0.03,0.06,0.02,0.07,0.01,0.04,0.01,0.01,0.14,0.02,0.04,0.08,0.06,0.01,0.04,0.02,0.03,0.03,0.01,0.01,0.02,0.201101174411,0.00466347008908,43.1226469925
110,0.02,0.03,0.03,0.03,0.01,0.02,0.01,0.07,0.04,0.01,0.02,0.03,0.02,0.01,0.02,0.07,0.02,0.08,0.06,0.09,0.02,0.07,0.04,0.03,0.04,0.06,0.03,0.02,0.220550279265,0.00495445628595,44.5155364254
111,0.02,0.04,0.03,0.02,0.01,0.01,0.08,0.02,0.04,0.02,0.03,0.02,0.03,0.07,0.02,0.02,0.08,0.04,0.02,0.05,0.02,0.06,0.01,0.04,0.02,0.01,0.04,0.13,0.193577010656,0.00379225046711,51.0454181058
112,0.01,0.03,0.03,0.04,0.03,0.02,0.01,0.01,0.03,0.03,0.03,0.02,0.01,0.07,0.02,0.01,0.03,0.06,0.01,0.01,0.02,0.13,0.03,0.07,0.03,0.12,0.08,0.01,0.269087200316,0.00513763137024,52.3757313291
113,0.02,0.04,0.01,0.03,0.01,0.01,0.04,0.01,0.08,0.02,0.06,0.05,0.01,0.09,0.04,0.02,0.04,0.03,0.02,0.04,0.01,0.11,0.09,0.05,0.02,0.02,0.02,0.01,0.221837821501,0.00458534277689,48.3797683827
114,0.04,0.04,0.01,0.02,0.01,0.03,0.13,0.01,0.06,0.04,0.05,0.01,0.02,0.06,0.06,0.01,0.03,0.04,0.02,0.05,0.04,0.01,0.01,0.04,0.08,0.04,0.01,0.03,0.167111545799,0.00475025891563,35.1794604815
115,0.03,0.02,0.03,0.11,0.02,0.06,0.08,0.04,0.04,0.03,0.03,0.01,0.01,0.01,0.03,0.06,0.02,0.07,0.03,0.04,0.09,0.01,0.01,0.01,0.04,0.03,0.02,0.02,0.165641411228,0.0048511099666,34.1450538883
116,0.05,0.01,0.03,0.03,0.05,0.03,0.04,0.01,0.02,0.01,0.02,0.01,0.06,0.13,0.02,0.01,0.05,0.06,0.11,0.01,0.01,0.04,0.02,0.05,0.03,0.01,0.04,0.04,0.19036535229,0.00474076788436,40.1549615872
117,0.07,0.03,0.08,0.03,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.12,0.01,0.01,0.04,0.04,0.06,0.02,0.03,0.01,0.07,0.01,0.04,0.04,0.01,0.04,0.03,0.1,0.176443596397,0.00389890984159,45.2545977122
118,0.02,0.06,0.04,0.07,0.02,0.06,0.06,0.02,0.06,0.01,0.03,0.02,0.03,0.03,0.05,0.02,0.03,0.01,0.01,0.08,0.01,0.03,0.06,0.09,0.02,0.01,0.04,0.01,0.195731543048,0.00462601523889,42.3110458873
119,0.01,0.04,0.06,0.05,0.07,0.01,0.04,0.04,0.08,0.03,0.01,0.03,0.02,0.01,0.04,0.14,0.03,0.02,0.01,0.01,0.01,0.02,0.09,0.02,0.03,0.01,0.04,0.03,0.168896764572,0.00457593873051,36.9097521883
120,0.03,0.03,0.03,0.05,0.02,0.01,0.02,0.03,0.05,0.02,0.04,0.05,0.08,0.02,0.01,0.02,0.04,0.06,0.03,0.01,0.09,0.01,0.02,0.05,0.01,0.02,0.06,0.09,0.184848143353,0.00386086263216,47.8774204017
121,0.05,0.04,0.01,0.05,0.02,0.01,0.13,0.01,0.05,0.03,0.01,0.02,0.08,0.02,0.01,0.04,0.05,0.12,0.03,0.01,0.01,0.01,0.04,0.01,0.02,0.02,0.01,0.09,0.144238453776,0.00473476102003,30.4637241807
122,0.03,0.03,0.09,0.05,0.01,0.05,0.01,0.01,0.03,0.08,0.06,0.03,0.08,0.01,0.06,0.06,0.01,0.02,0.01,0.04,0.01,0.05,0.05,0.02,0.03,0.02,0.03,0.02,0.191650898275,0.0045898451593,41.7554169309
123,0.01,0.02,0.02,0.03,0.05,0.01,0.11,0.03,0.05,0.04,0.01,0.06,0.08,0.12,0.02,0.01,0.01,0.01,0.01,0.03,0.12,0.01,0.01,0.01,0.06,0.01,0.01,0.04,0.156967878276,0.00459678676317,34.1473047072
124,0.02,0.04,0.02,0.01,0.05,0.03,0.01,0.05,0.02,0.1,0.02,0.1,0.03,0.01,0.03,0.02,0.06,0.02,0.04,0.04,0.03,0.06,0.01,0.05,0.03,0.05,0.02,0.03,0.237830902649,0.004682505962,50.7913720941
125,0.02,0.01,0.07,0.04,0.04,0.03,0.06,0.02,0.05,0.06,0.08,0.02,0.05,0.02,0.02,0.03,0.06,0.03,0.01,0.02,0.01,0.04,0.01,0.01,0.01,0.12,0.02,0.04,0.208220385784,0.00461203235244,45.1472084046
126,0.03,0.02,0.02,0.05,0.07,0.01,0.07,0.09,0.12,0.02,0.01,0.08,0.02,0.08,0.03,0.01,0.02,0.01,0.01,0.05,0.03,0.01,0.01,0.02,0.04,0.02,0.04,0.01,0.179942446112,0.00456210939584,39.4428170171
127,0.04,0.01,0.01,0.01,0.04,0.07,0.01,0.01,0.04,0.01,0.07,0.01,0.06,0.02,0.02,0.02,0.01,0.03,0.19,0.03,0.12,0.04,0.01,0.01,0.01,0.04,0.05,0.01,0.213067667881,0.00474578998404,44.8961434445
128,0.01,0.04,0.07,0.02,0.01,0.16,0.03,0.03,0.01,0.01,0.04,0.05,0.02,0.02,0.02,0.01,0.02,0.02,0.07,0.01,0.05,0.02,0.02,0.13,0.01,0.05,0.01,0.04,0.243437263782,0.00462982206839,52.580263385
129,0.02,0.06,0.02,0.03,0.13,0.01,0.07,0.03,0.02,0.01,0.05,0.02,0.02,0.01,0.01,0.05,0.05,0.09,0.01,0.01,0.18,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.179463034233,0.00516894938043,34.7194412297
130,0.04,0.01,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.01,0.04,0.05,0.09,0.06,0.01,0.05,0.01,0.06,0.11,0.06,0.04,0.01,0.05,0.08,0.186936190207,0.0042751958722,43.7257603616
131,0.05,0.01,0.01,0.01,0.1,0.05,0.04,0.04,0.02,0.01,0.04,0.06,0.06,0.01,0.01,0.07,0.08,0.01,0.03,0.02,0.03,0.04,0.01,0.02,0.04,0.09,0.01,0.03,0.202849292713,0.00472439633203,42.9365528327
132,0.04,0.12,0.04,0.02,0.06,0.03,0.01,0.06,0.02,0.01,0.02,0.03,0.09,0.06,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.08,0.03,0.05,0.01,0.01,0.215616478079,0.00494730652026,43.5825993793
133,0.14,0.06,0.01,0.06,0.02,0.01,0.04,0.05,0.02,0.07,0.03,0.01,0.04,0.04,0.01,0.02,0.02,0.05,0.06,0.01,0.06,0.05,0.01,0.01,0.02,0.03,0.01,0.04,0.182781118345,0.00502211383456,36.3952559352
134,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.1,0.01,0.04,0.01,0.02,0.09,0.06,0.17,0.06,0.03,0.03,0.04,0.01,0.07,0.02,0.04,0.02,0.02,0.22691220375,0.00492558412054,46.068080089
135,0.06,0.01,0.07,0.03,0.01,0.01,0.02,0.06,0.02,0.04,0.07,0.02,0.03,0.03,0.01,0.02,0.07,0.03,0.03,0.05,0.01,0.09,0.04,0.01,0.01,0.03,0.06,0.06,0.211512755817,0.00425801312852,49.6740497111
136,0.01,0.08,0.01,0.05,0.02,0.01,0.09,0.06,0.01,0.03,0.05,0.02,0.02,0.1,0.05,0.04,0.02,0.05,0.03,0.07,0.01,0.02,0.01,0.04,0.03,0.04,0.02,0.01,0.195914863156,0.00496145482667,39.4873822297
137,0.04,0.07,0.01,0.01,0.03,0.02,0.03,0.03,0.02,0.01,0.16,0.03,0.13,0.02,0.05,0.01,0.01,0.02,0.03,0.04,0.12,0.03,0.01,0.02,0.01,0.01,0.02,0.01,0.199894498834,0.00433190098193,46.1447525389
138,0.02,0.02,0.01,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.02,0.01,0.05,0.02,0.05,0.24,0.05,0.03,0.01,0.04,0.08,0.04,0.02,0.01,0.04,0.04,0.194865047464,0.0056058711386,34.7608859794
139,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.04,0.04,0.06,0.02,0.05,0.08,0.17,0.13,0.02,0.01,0.05,0.04,0.237863259216,0.00448144857198,53.0773153805
140,0.07,0.04,0.01,0.06,0.03,0.05,0.08,0.01,0.04,0.02,0.03,0.05,0.11,0.02,0.01,0.09,0.04,0.01,0.02,0.01,0.02,0.07,0.03,0.01,0.01,0.04,0.01,0.01,0.183817697241,0.00489935761729,37.5187344138
141,0.04,0.12,0.02,0.02,0.02,0.02,0.01,0.08,0.03,0.02,0.14,0.01,0.08,0.01,0.05,0.02,0.01,0.05,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.1,0.01,0.191984591279,0.00455101487244,42.185006347
142,0.01,0.02,0.02,0.02,0.02,0.1,0.06,0.02,0.04,0.06,0.02,0.05,0.01,0.03,0.02,0.01,0.02,0.03,0.08,0.08,0.03,0.06,0.01,0.06,0.03,0.06,0.02,0.01,0.231614114382,0.00494983675403,46.7922733398
143,0.01,0.01,0.03,0.01,0.01,0.1,0.01,0.01,0.03,0.03,0.05,0.1,0.06,0.01,0.01,0.01,0.03,0.15,0.02,0.03,0.03,0.06,0.01,0.03,0.05,0.05,0.03,0.02,0.210848982157,0.00512768876368,41.1196919068
144,0.01,0.01,0.04,0.02,0.01,0.07,0.03,0.04,0.02,0.03,0.01,0.05,0.14,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.13,0.08,0.02,0.02,0.02,0.03,0.04,0.228899520597,0.00468867990912,48.8196091509
145,0.01,0.01,0.01,0.01,0.03,0.09,0.03,0.06,0.06,0.01,0.08,0.02,0.01,0.04,0.01,0.03,0.03,0.18,0.03,0.02,0.04,0.03,0.02,0.02,0.03,0.01,0.07,0.01,0.199615053219,0.00516255565011,38.6659373279
146,0.05,0.02,0.02,0.02,0.02,0.04,0.04,0.03,0.01,0.1,0.02,0.02,0.12,0.04,0.01,0.02,0.06,0.04,0.04,0.02,0.11,0.02,0.07,0.01,0.01,0.01,0.01,0.02,0.172408362689,0.00498436117607,34.5898614885
147,0.02,0.03,0.01,0.03,0.08,0.02,0.05,0.03,0.01,0.03,0.01,0.02,0.04,0.01,0.04,0.11,0.01,0.03,0.13,0.08,0.01,0.06,0.06,0.02,0.02,0.01,0.02,0.01,0.20438629388,0.0051570064584,39.632739561
148,0.02,0.03,0.01,0.05,0.01,0.02,0.01,0.08,0.01,0.01,0.03,0.04,0.03,0.03,0.07,0.02,0.01,0.01,0.07,0.02,0.14,0.06,0.02,0.01,0.02,0.01,0.11,0.05,0.221628556355,0.00431766623528,51.3306365704
149,0.02,0.03,0.02,0.02,0.02,0.01,0.06,0.1,0.01,0.01,0.01,0.03,0.02,0.02,0.05,0.01,0.05,0.1,0.07,0.01,0.03,0.01,0.04,0.04,0.13,0.01,0.01,0.06,0.174680796726,0.00470298272314,37.1425554822
150,0.01,0.03,0.01,0.02,0.02,0.03,0.03,0.03,0.09,0.01,0.01,0.03,0.01,0.02,0.14,0.02,0.01,0.07,0.07,0.03,0.04,0.03,0.04,0.02,0.01,0.03,0.01,0.13,0.212794401574,0.00398128345826,53.448694072
151,0.01,0.01,0.02,0.07,0.07,0.01,0.03,0.01,0.02,0.04,0.01,0.04,0.02,0.02,0.02,0.01,0.02,0.07,0.01,0.05,0.04,0.01,0.05,0.08,0.1,0.14,0.01,0.01,0.193696396771,0.00519518052035,37.2838626131
152,0.03,0.01,0.06,0.01,0.01,0.01,0.04,0.01,0.04,0.09,0.03,0.06,0.01,0.02,0.04,0.01,0.03,0.15,0.01,0.03,0.05,0.1,0.02,0.05,0.02,0.02,0.03,0.01,0.240769098802,0.00528254702697,45.578221561
153,0.06,0.03,0.05,0.02,0.02,0.02,0.01,0.07,0.07,0.02,0.13,0.04,0.01,0.01,0.05,0.06,0.01,0.07,0.04,0.02,0.01,0.03,0.06,0.02,0.03,0.02,0.01,0.01,0.195187708889,0.00435938494072,44.7741393666
154,0.15,0.01,0.05,0.03,0.06,0.06,0.02,0.05,0.01,0.03,0.03,0.01,0.05,0.01,0.01,0.03,0.03,0.01,0.05,0.07,0.04,0.03,0.01,0.02,0.05,0.01,0.01,0.06,0.164122564116,0.00459521419291,35.715976933
155,0.01,0.01,0.02,0.01,0.01,0.05,0.01,0.01,0.02,0.07,0.03,0.06,0.01,0.07,0.03,0.03,0.05,0.07,0.02,0.03,0.08,0.01,0.05,0.05,0.09,0.03,0.04,0.03,0.175190178475,0.00459607217099,38.1173689093
156,0.05,0.01,0.02,0.03,0.04,0.05,0.01,0.03,0.05,0.01,0.03,0.01,0.02,0.01,0.03,0.02,0.07,0.03,0.04,0.07,0.02,0.06,0.07,0.14,0.01,0.02,0.03,0.02,0.240469619894,0.0046390923483,51.8354888929
157,0.03,0.03,0.01,0.05,0.05,0.03,0.02,0.07,0.02,0.09,0.04,0.01,0.1,0.01,0.03,0.03,0.13,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.03,0.01,0.06,0.01,0.19443715309,0.00501688871148,38.7565210776
158,0.06,0.02,0.01,0.02,0.04,0.06,0.03,0.05,0.04,0.03,0.02,0.07,0.09,0.06,0.02,0.01,0.07,0.01,0.06,0.02,0.05,0.01,0.02,0.04,0.02,0.01,0.05,0.01,0.185090728889,0.00457376340662,40.4679281444
159,0.03,0.01,0.02,0.01,0.04,0.06,0.08,0.08,0.05,0.02,0.01,0.02,0.05,0.04,0.01,0.01,0.13,0.02,0.01,0.02,0.07,0.01,0.12,0.02,0.02,0.01,0.02,0.01,0.164474761917,0.00493742153217,33.3118735854
160,0.04,0.01,0.01,0.05,0.01,0.09,0.01,0.04,0.03,0.09,0.06,0.02,0.01,0.02,0.03,0.04,0.03,0.06,0.04,0.02,0.05,0.04,0.07,0.07,0.02,0.02,0.01,0.01,0.215342965129,0.00479141761295,44.94347655
161,0.06,0.04,0.03,0.03,0.05,0.07,0.03,0.01,0.04,0.08,0.03,0.08,0.02,0.01,0.01,0.01,0.01,0.01,0.11,0.03,0.01,0.01,0.01,0.05,0.03,0.07,0.03,0.03,0.199002095213,0.00470086020987,42.3331233706
162,0.08,0.03,0.01,0.03,0.04,0.01,0.18,0.06,0.04,0.02,0.02,0.08,0.03,0.01,0.05,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.03,0.05,0.01,0.02,0.02,0.06,0.178393152528,0.00444786098836,40.1076276879
163,0.02,0.05,0.01,0.01,0.05,0.03,0.03,0.08,0.1,0.03,0.01,0.04,0.02,0.06,0.04,0.12,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.12,0.01,0.01,0.221206124757,0.00509094458694,43.4509001187
164,0.01,0.07,0.01,0.03,0.03,0.01,0.02,0.01,0.06,0.13,0.06,0.07,0.04,0.01,0.04,0.02,0.01,0.03,0.05,0.02,0.05,0.01,0.04,0.04,0.02,0.06,0.03,0.02,0.204449479299,0.00473455766799,43.1823823124
165,0.01,0.03,0.01,0.09,0.01,0.02,0.01,0.05,0.02,0.03,0.03,0.06,0.01,0.04,0.05,0.02,0.06,0.02,0.1,0.05,0.01,0.07,0.04,0.06,0.04,0.04,0.01,0.01,0.228119371574,0.00462624570475,49.3098261816
166,0.04,0.03,0.03,0.01,0.13,0.11,0.01,0.04,0.02,0.03,0.02,0.02,0.03,0.09,0.04,0.02,0.06,0.03,0.02,0.01,0.05,0.01,0.02,0.02,0.05,0.04,0.01,0.01,0.187952488254,0.00509711916618,36.8742582087
167,0.04,0.07,0.05,0.13,0.01,0.02,0.01,0.01,0.03,0.01,0.03,0.02,0.02,0.05,0.08,0.04,0.03,0.01,0.01,0.01,0.02,0.03,0.04,0.02,0.13,0.06,0.01,0.01,0.151590457227,0.00481975931076,31.4518728951
168,0.02,0.03,0.06,0.04,0.15,0.04,0.02,0.02,0.03,0.03,0.02,0.01,0.03,0.04,0.08,0.03,0.1,0.03,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.08,0.192107008531,0.00449279086766,42.7589474316
169,0.05,0.04,0.01,0.02,0.01,0.01,0.04,0.09,0.06,0.01,0.05,0.01,0.08,0.01,0.03,0.04,0.07,0.02,0.01,0.04,0.01,0.04,0.04,0.1,0.02,0.06,0.01,0.02,0.232386012148,0.00463823946613,50.1022023215
170,0.04,0.03,0.03,0.02,0.06,0.04,0.03,0.01,0.01,0.01,0.03,0.01,0.04,0.01,0.01,0.05,0.01,0.02,0.02,0.14,0.1,0.02,0.05,0.01,0.04,0.08,0.02,0.06,0.169114852618,0.00473843528537,35.6900205307
171,0.06,0.06,0.01,0.05,0.01,0.13,0.02,0.04,0.08,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.04,0.06,0.02,0.02,0.02,0.07,0.02,0.04,0.05,0.04,0.02,0.02,0.205773734363,0.0050792794367,40.512387028
172,0.01,0.01,0.05,0.03,0.08,0.05,0.01,0.01,0.04,0.03,0.03,0.04,0.05,0.07,0.09,0.01,0.04,0.01,0.02,0.02,0.03,0.14,0.05,0.04,0.01,0.01,0.01,0.01,0.259968017912,0.00471340991483,55.1549775236
173,0.01,0.02,0.08,0.07,0.02,0.02,0.01,0.01,0.04,0.04,0.03,0.04,0.11,0.01,0.02,0.02,0.13,0.03,0.07,0.02,0.01,0.01,0.03,0.07,0.03,0.01,0.03,0.01,0.183795044568,0.00478255060646,38.4303397271
174,0.05,0.01,0.06,0.02,0.01,0.05,0.03,0.03,0.01,0.09,0.03,0.01,0.01,0.03,0.05,0.04,0.04,0.02,0.01,0.01,0.06,0.02,0.06,0.1,0.02,0.03,0.06,0.04,0.214633060178,0.00449403344522,47.7595600466
175,0.13,0.04,0.03,0.01,0.03,0.02,0.04,0.03,0.02,0.08,0.04,0.01,0.01,0.03,0.04,0.01,0.04,0.02,0.03,0.05,0.05,0.01,0.03,0.05,0.03,0.08,0.02,0.02,0.189045590861,0.00510911737389,37.0016143743
176,0.01,0.02,0.02,0.06,0.04,0.1,0.01,0.03,0.02,0.01,0.05,0.04,0.02,0.02,0.09,0.04,0.02,0.01,0.02,0.07,0.01,0.06,0.04,0.01,0.03,0.01,0.06,0.08,0.200525543796,0.00406910132198,49.280056683
177,0.04,0.01,0.01,0.03,0.08,0.06,0.03,0.03,0.07,0.04,0.04,0.02,0.02,0.01,0.01,0.05,0.03,0.03,0.02,0.01,0.02,0.09,0.03,0.04,0.07,0.02,0.08,0.01,0.212597624515,0.00478272801703,44.4511215688
178,0.01,0.01,0.01,0.01,0.06,0.02,0.03,0.02,0.12,0.02,0.07,0.02,0.04,0.01,0.05,0.01,0.01,0.01,0.1,0.02,0.01,0.02,0.02,0.04,0.03,0.01,0.19,0.03,0.200236242905,0.00450711905143,44.4266593849
179,0.02,0.04,0.02,0.01,0.02,0.01,0.02,0.1,0.02,0.03,0.02,0.05,0.02,0.08,0.01,0.12,0.01,0.07,0.05,0.03,0.09,0.01,0.01,0.06,0.01,0.05,0.01,0.01,0.222955959781,0.00488949328642,45.5989908811
180,0.05,0.01,0.03,0.12,0.11,0.04,0.01,0.02,0.01,0.02,0.16,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.02,0.07,0.03,0.04,0.02,0.01,0.04,0.166820025315,0.00383758609666,43.4700410916
181,0.01,0.02,0.01,0.02,0.02,0.01,0.06,0.05,0.04,0.01,0.03,0.06,0.09,0.02,0.08,0.03,0.04,0.12,0.02,0.01,0.02,0.02,0.01,0.01,0.04,0.04,0.05,0.06,0.191653136429,0.00462556168921,41.4334840407
182,0.04,0.03,0.01,0.01,0.05,0.01,0.01,0.03,0.02,0.02,0.09,0.03,0.02,0.01,0.04,0.03,0.04,0.1,0.01,0.03,0.01,0.12,0.07,0.07,0.01,0.05,0.01,0.03,0.259014894808,0.00473072755782,54.751598278
183,0.02,0.05,0.01,0.02,0.01,0.02,0.04,0.1,0.01,0.01,0.07,0.09,0.03,0.05,0.1,0.01,0.02,0.04,0.02,0.04,0.02,0.05,0.04,0.02,0.03,0.03,0.03,0.02,0.223275380189,0.00443310251776,50.3654899237
184,0.05,0.02,0.04,0.03,0.03,0.02,0.03,0.05,0.02,0.02,0.01,0.08,0.07,0.06,0.01,0.01,0.01,0.01,0.07,0.01,0.07,0.01,0.06,0.02,0.04,0.06,0.07,0.02,0.174460370593,0.00454428305669,38.3911759934
185,0.02,0.06,0.05,0.02,0.04,0.04,0.05,0.03,0.02,0.01,0.06,0.01,0.06,0.08,0.01,0.01,0.01,0.05,0.01,0.03,0.04,0.04,0.04,0.04,0.02,0.03,0.09,0.03,0.193615430856,0.00453925336789,42.6535853286
186,0.01,0.06,0.11,0.01,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.03,0.04,0.05,0.03,0.1,0.04,0.04,0.01,0.02,0.04,0.02,0.04,0.03,0.01,0.09,0.01,0.01,0.1992563238,0.00468551285298,42.5260435841
187,0.03,0.01,0.01,0.12,0.17,0.02,0.03,0.05,0.02,0.06,0.03,0.01,0.03,0.03,0.02,0.01,0.01,0.04,0.02,0.02,0.04,0.01,0.04,0.02,0.04,0.02,0.06,0.03,0.172059158386,0.00466258534508,36.9020930774
188,0.01,0.04,0.01,0.07,0.02,0.01,0.05,0.04,0.15,0.01,0.02,0.08,0.05,0.01,0.03,0.01,0.01,0.04,0.01,0.05,0.04,0.03,0.01,0.03,0.02,0.06,0.03,0.06,0.194848545906,0.00433209430178,44.977909605
189,0.11,0.02,0.05,0.01,0.01,0.04,0.04,0.02,0.03,0.01,0.09,0.04,0.01,0.09,0.05,0.03,0.02,0.05,0.01,0.02,0.02,0.03,0.04,0.06,0.07,0.01,0.01,0.01,0.1732101642,0.00455245837294,38.0476107656
190,0.01,0.01,0.13,0.09,0.07,0.01,0.05,0.01,0.02,0.04,0.01,0.03,0.02,0.03,0.02,0.02,0.01,0.05,0.02,0.01,0.03,0.03,0.08,0.01,0.1,0.04,0.01,0.04,0.147784518604,0.0046703489566,31.6431427239
191,0.03,0.01,0.07,0.05,0.01,0.03,0.02,0.04,0.01,0.03,0.11,0.03,0.09,0.01,0.02,0.02,0.03,0.01,0.07,0.03,0.04,0.04,0.01,0.03,0.03,0.06,0.05,0.02,0.207295823299,0.00422643509351,49.0474403873
192,0.06,0.03,0.05,0.01,0.01,0.02,0.05,0.01,0.02,0.01,0.08,0.07,0.01,0.01,0.04,0.02,0.07,0.07,0.08,0.02,0.02,0.1,0.02,0.02,0.04,0.02,0.02,0.02,0.216393999269,0.00467905278162,46.2473943698
193,0.01,0.01,0.01,0.06,0.04,0.02,0.04,0.01,0.09,0.07,0.08,0.05,0.07,0.05,0.02,0.06,0.03,0.02,0.01,0.02,0.01,0.07,0.01,0.03,0.03,0.01,0.04,0.03,0.202350431822,0.00417105449495,48.5130156096
194,0.1,0.04,0.1,0.03,0.01,0.02,0.04,0.02,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.04,0.01,0.05,0.05,0.06,0.03,0.1,0.08,0.01,0.199415169718,0.00498791594586,39.979657212
195,0.01,0.04,0.01,0.01,0.07,0.03,0.02,0.01,0.04,0.1,0.03,0.07,0.09,0.05,0.01,0.02,0.03,0.02,0.13,0.02,0.01,0.05,0.02,0.03,0.01,0.01,0.02,0.04,0.214213972496,0.00453822534595,47.2021453688
196,0.01,0.03,0.01,0.03,0.06,0.01,0.01,0.01,0.02,0.09,0.07,0.05,0.05,0.04,0.01,0.02,0.03,0.04,0.01,0.01,0.1,0.08,0.04,0.02,0.07,0.04,0.03,0.01,0.208155020443,0.00469355416863,44.3491249839
197,0.1,0.03,0.03,0.06,0.02,0.02,0.08,0.04,0.03,0.04,0.01,0.01,0.04,0.12,0.04,0.01,0.02,0.07,0.02,0.02,0.01,0.04,0.02,0.01,0.02,0.02,0.03,0.04,0.169170141585,0.00498344898938,33.9463977549
198,0.02,0.05,0.03,0.08,0.04,0.02,0.02,0.01,0.05,0.01,0.01,0.04,0.02,0.02,0.05,0.05,0.09,0.01,0.01,0.05,0.01,0.02,0.02,0.02,0.03,0.01,0.2,0.01,0.165931359143,0.00487480964201,34.038531005
199,0.01,0.05,0.06,0.01,0.04,0.01,0.02,0.02,0.05,0.01,0.05,0.02,0.01,0.01,0.15,0.01,0.01,0.02,0.06,0.04,0.02,0.13,0.08,0.01,0.01,0.06,0.01,0.02,0.264247199751,0.00499729919523,52.8780025825
200,0.01,0.02,0.02,0.07,0.02,0.01,0.06,0.03,0.03,0.13,0.01,0.01,0.01,0.03,0.02,0.11,0.05,0.01,0.01,0.04,0.05,0.05,0.04,0.01,0.03,0.06,0.02,0.04,0.193625307066,0.00490032134352,39.5127775288
