,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,USD,XLV,portfolioreturn,portfoliostandarddeviation,returnoverrisk
100,0.1,0.01,0.15,0.19,0.01,0.02,0.09,0.08,0.08,0.13,0.05,0.11,0.1,0.14,0.08,0.03,0.01,0.13,0.02,0.06,0.06,0.01,0.18,0.01,0.01,0.04,0.03,0.07,0.486531381578,0.0106213440425,45.8069505736
101,0.08,0.08,0.07,0.07,0.01,0.07,0.05,0.06,0.06,0.07,0.01,0.14,0.02,0.17,0.02,0.01,0.04,0.3,0.01,0.17,0.04,0.1,0.01,0.04,0.09,0.06,0.09,0.06,0.443382793006,0.0112304905747,39.4802693665
102,0.08,0.02,0.01,0.02,0.03,0.04,0.15,0.03,0.13,0.01,0.3,0.01,0.01,0.15,0.23,0.01,0.11,0.11,0.03,0.06,0.01,0.12,0.02,0.05,0.01,0.03,0.02,0.2,0.389668927856,0.010229904153,38.091161171
103,0.24,0.15,0.1,0.05,0.09,0.04,0.03,0.03,0.02,0.01,0.09,0.02,0.03,0.13,0.01,0.08,0.06,0.22,0.07,0.07,0.02,0.1,0.14,0.01,0.01,0.01,0.03,0.14,0.416806059723,0.0128724455481,32.3797104571
104,0.02,0.15,0.17,0.06,0.04,0.07,0.09,0.34,0.02,0.05,0.02,0.03,0.08,0.06,0.13,0.06,0.02,0.01,0.01,0.12,0.08,0.07,0.1,0.01,0.02,0.02,0.14,0.01,0.463686903712,0.0108908422051,42.5758536373
105,0.08,0.22,0.08,0.04,0.02,0.2,0.17,0.01,0.08,0.05,0.07,0.23,0.08,0.02,0.11,0.01,0.01,0.13,0.08,0.03,0.04,0.01,0.02,0.01,0.02,0.04,0.09,0.05,0.414235890416,0.0108815572855,38.0677029534
106,0.06,0.03,0.03,0.02,0.19,0.08,0.16,0.03,0.16,0.18,0.09,0.04,0.01,0.01,0.02,0.13,0.03,0.06,0.07,0.04,0.05,0.08,0.08,0.12,0.02,0.15,0.05,0.01,0.418710899211,0.0104984178112,39.8832382878
107,0.06,0.04,0.04,0.14,0.01,0.07,0.01,0.06,0.18,0.04,0.03,0.03,0.08,0.01,0.02,0.08,0.06,0.05,0.06,0.01,0.08,0.03,0.36,0.16,0.23,0.02,0.03,0.01,0.535096886744,0.0103548081276,51.6761759514
108,0.02,0.04,0.03,0.03,0.02,0.03,0.01,0.32,0.04,0.01,0.01,0.03,0.14,0.17,0.12,0.13,0.02,0.01,0.02,0.3,0.13,0.11,0.04,0.03,0.01,0.02,0.14,0.02,0.476470933682,0.010522427424,45.2814654339
109,0.01,0.08,0.02,0.01,0.02,0.03,0.14,0.04,0.08,0.02,0.05,0.04,0.01,0.07,0.03,0.12,0.27,0.06,0.11,0.2,0.03,0.18,0.01,0.02,0.11,0.12,0.05,0.07,0.409001695645,0.0104638848661,39.0869835514
110,0.01,0.05,0.07,0.03,0.05,0.01,0.16,0.08,0.02,0.08,0.1,0.1,0.01,0.07,0.1,0.06,0.03,0.2,0.03,0.12,0.22,0.07,0.02,0.01,0.13,0.09,0.06,0.02,0.543722769626,0.0107092840359,50.7711596595
111,0.05,0.12,0.01,0.11,0.03,0.08,0.04,0.13,0.28,0.03,0.11,0.08,0.01,0.08,0.08,0.02,0.07,0.09,0.03,0.04,0.07,0.04,0.06,0.02,0.16,0.09,0.02,0.05,0.463751544363,0.0104242613725,44.4877126343
112,0.04,0.06,0.04,0.06,0.04,0.07,0.06,0.04,0.04,0.09,0.1,0.15,0.02,0.01,0.02,0.14,0.07,0.06,0.15,0.01,0.22,0.11,0.06,0.11,0.01,0.04,0.14,0.04,0.481660589404,0.00966108625761,49.8557384295
113,0.14,0.07,0.11,0.02,0.04,0.16,0.01,0.09,0.14,0.07,0.13,0.07,0.05,0.04,0.03,0.03,0.12,0.12,0.04,0.02,0.22,0.04,0.01,0.05,0.05,0.04,0.04,0.05,0.451601009577,0.011476598255,39.3497271181
114,0.01,0.02,0.09,0.04,0.01,0.03,0.07,0.05,0.11,0.12,0.05,0.08,0.06,0.01,0.11,0.02,0.05,0.07,0.02,0.07,0.29,0.02,0.07,0.01,0.11,0.11,0.1,0.2,0.570907102741,0.00856556098846,66.6514549964
115,0.04,0.05,0.01,0.07,0.06,0.02,0.1,0.1,0.01,0.08,0.1,0.03,0.09,0.01,0.1,0.03,0.11,0.18,0.25,0.05,0.07,0.02,0.01,0.01,0.13,0.08,0.06,0.13,0.438457415065,0.0100650762963,43.5622544886
116,0.05,0.14,0.17,0.08,0.03,0.15,0.12,0.02,0.02,0.01,0.08,0.06,0.08,0.01,0.01,0.11,0.04,0.08,0.08,0.09,0.03,0.03,0.14,0.09,0.01,0.06,0.13,0.08,0.424607319835,0.0104567327709,40.6061175263
117,0.03,0.13,0.05,0.07,0.05,0.03,0.03,0.06,0.13,0.04,0.02,0.01,0.02,0.01,0.05,0.09,0.1,0.05,0.08,0.12,0.14,0.11,0.02,0.19,0.02,0.05,0.29,0.01,0.483970255896,0.0102218549102,47.3466176296
118,0.45,0.07,0.05,0.03,0.02,0.07,0.22,0.09,0.03,0.02,0.1,0.09,0.09,0.05,0.05,0.12,0.01,0.01,0.01,0.02,0.04,0.03,0.01,0.09,0.07,0.02,0.03,0.11,0.387422792619,0.0152909344996,25.3367635986
119,0.03,0.04,0.07,0.01,0.09,0.09,0.01,0.18,0.1,0.04,0.05,0.06,0.01,0.01,0.38,0.01,0.02,0.08,0.02,0.01,0.03,0.11,0.08,0.13,0.01,0.15,0.04,0.14,0.332462156689,0.0097670255913,34.0392429181
120,0.09,0.02,0.14,0.01,0.06,0.08,0.01,0.21,0.05,0.08,0.01,0.01,0.01,0.02,0.07,0.06,0.02,0.26,0.03,0.2,0.01,0.06,0.06,0.28,0.01,0.09,0.01,0.04,0.294691875979,0.0118794490768,24.8068638599
121,0.07,0.12,0.12,0.06,0.11,0.17,0.08,0.01,0.05,0.08,0.13,0.03,0.12,0.08,0.07,0.01,0.01,0.02,0.12,0.07,0.02,0.12,0.12,0.09,0.03,0.01,0.02,0.06,0.364099993111,0.010336471142,35.2247868843
122,0.01,0.12,0.02,0.01,0.06,0.08,0.03,0.03,0.09,0.02,0.18,0.05,0.09,0.01,0.09,0.16,0.08,0.01,0.03,0.12,0.32,0.01,0.24,0.01,0.01,0.04,0.02,0.06,0.591931219409,0.0100387868161,58.9644177384
123,0.05,0.02,0.01,0.05,0.06,0.03,0.06,0.06,0.04,0.06,0.01,0.01,0.04,0.06,0.23,0.13,0.03,0.07,0.06,0.07,0.03,0.02,0.03,0.01,0.11,0.24,0.11,0.3,0.430078760514,0.00857861945401,50.1337963316
124,0.07,0.04,0.12,0.18,0.06,0.04,0.06,0.02,0.23,0.07,0.07,0.02,0.02,0.14,0.05,0.06,0.27,0.01,0.23,0.04,0.02,0.02,0.02,0.02,0.06,0.02,0.03,0.01,0.410633906878,0.0109667206575,37.4436369541
125,0.09,0.01,0.1,0.21,0.11,0.02,0.08,0.07,0.08,0.09,0.06,0.03,0.03,0.05,0.09,0.02,0.07,0.01,0.17,0.15,0.06,0.05,0.04,0.02,0.16,0.02,0.08,0.03,0.458966403533,0.010622441709,43.2072414333
126,0.05,0.06,0.1,0.32,0.1,0.03,0.03,0.11,0.1,0.09,0.01,0.04,0.17,0.11,0.11,0.02,0.04,0.02,0.05,0.04,0.02,0.03,0.02,0.06,0.09,0.13,0.02,0.03,0.385549721423,0.0103352805382,37.3042337845
127,0.21,0.08,0.07,0.02,0.01,0.09,0.02,0.27,0.01,0.04,0.04,0.01,0.05,0.11,0.17,0.01,0.01,0.13,0.24,0.09,0.02,0.01,0.07,0.04,0.02,0.01,0.05,0.1,0.382409463689,0.0125310302173,30.5170011609
128,0.07,0.04,0.01,0.04,0.04,0.13,0.01,0.04,0.09,0.08,0.11,0.1,0.24,0.02,0.14,0.03,0.01,0.21,0.11,0.04,0.04,0.01,0.07,0.12,0.04,0.03,0.1,0.03,0.398458446315,0.010696190764,37.2523691011
129,0.05,0.03,0.01,0.06,0.02,0.26,0.04,0.01,0.05,0.07,0.02,0.08,0.07,0.06,0.09,0.02,0.03,0.03,0.1,0.08,0.01,0.17,0.1,0.01,0.01,0.4,0.03,0.09,0.352660490334,0.010926104334,32.2768737651
130,0.1,0.07,0.11,0.1,0.06,0.03,0.02,0.16,0.05,0.03,0.01,0.03,0.08,0.01,0.03,0.05,0.01,0.1,0.09,0.29,0.26,0.03,0.03,0.02,0.01,0.01,0.02,0.19,0.474113306751,0.0102606375029,46.2070028902
131,0.25,0.02,0.03,0.07,0.02,0.24,0.06,0.03,0.01,0.12,0.13,0.01,0.08,0.03,0.03,0.15,0.04,0.14,0.12,0.02,0.04,0.11,0.01,0.01,0.08,0.03,0.03,0.09,0.360640844048,0.0129340785523,27.8829947251
132,0.04,0.15,0.2,0.15,0.02,0.16,0.13,0.17,0.01,0.02,0.09,0.05,0.05,0.01,0.01,0.02,0.01,0.19,0.01,0.1,0.05,0.03,0.01,0.11,0.02,0.07,0.09,0.03,0.382360040328,0.0116703129494,32.7634778934
133,0.04,0.14,0.04,0.02,0.01,0.2,0.01,0.08,0.09,0.13,0.09,0.03,0.04,0.03,0.09,0.01,0.01,0.08,0.08,0.03,0.05,0.09,0.01,0.05,0.06,0.45,0.01,0.03,0.340280182471,0.0121495368566,28.0076669989
134,0.12,0.12,0.15,0.1,0.06,0.07,0.09,0.01,0.08,0.12,0.02,0.07,0.05,0.07,0.05,0.01,0.2,0.04,0.04,0.19,0.04,0.02,0.04,0.03,0.03,0.1,0.04,0.04,0.407585904317,0.0112473155305,36.238505376
135,0.06,0.03,0.11,0.03,0.16,0.07,0.03,0.03,0.03,0.07,0.21,0.16,0.19,0.04,0.01,0.03,0.05,0.01,0.06,0.04,0.17,0.03,0.11,0.07,0.08,0.04,0.07,0.01,0.472331332222,0.0102169840829,46.230015471
136,0.03,0.15,0.08,0.06,0.01,0.02,0.09,0.06,0.15,0.09,0.03,0.08,0.07,0.03,0.02,0.04,0.01,0.23,0.06,0.02,0.02,0.26,0.02,0.03,0.12,0.01,0.06,0.15,0.380964640368,0.0100935858271,37.7432407959
137,0.02,0.06,0.01,0.07,0.08,0.01,0.05,0.18,0.11,0.06,0.05,0.11,0.03,0.03,0.04,0.09,0.09,0.01,0.11,0.01,0.03,0.14,0.14,0.23,0.07,0.08,0.01,0.08,0.353842629384,0.00914718707172,38.6832177597
138,0.06,0.06,0.05,0.02,0.21,0.02,0.05,0.09,0.15,0.01,0.03,0.01,0.02,0.08,0.09,0.01,0.1,0.19,0.14,0.03,0.01,0.08,0.01,0.03,0.07,0.28,0.09,0.01,0.412232488084,0.0118142816456,34.8927256393
139,0.04,0.04,0.16,0.03,0.03,0.02,0.01,0.03,0.05,0.42,0.08,0.07,0.01,0.04,0.09,0.02,0.01,0.08,0.08,0.07,0.11,0.08,0.14,0.09,0.09,0.03,0.01,0.07,0.431673200044,0.0100443211876,42.9768415387
140,0.02,0.02,0.19,0.07,0.13,0.1,0.02,0.05,0.02,0.04,0.1,0.07,0.2,0.03,0.04,0.02,0.11,0.02,0.03,0.07,0.1,0.11,0.04,0.02,0.04,0.13,0.02,0.19,0.360943788731,0.00909456087369,39.6878742959
141,0.17,0.18,0.06,0.14,0.02,0.03,0.03,0.14,0.02,0.02,0.09,0.03,0.06,0.09,0.02,0.04,0.04,0.29,0.07,0.03,0.09,0.04,0.05,0.07,0.02,0.05,0.05,0.06,0.430238822344,0.01294037134,33.2477956806
142,0.08,0.03,0.03,0.02,0.01,0.04,0.03,0.1,0.06,0.05,0.03,0.2,0.12,0.13,0.05,0.12,0.24,0.08,0.04,0.05,0.11,0.05,0.03,0.03,0.01,0.03,0.07,0.16,0.432568999764,0.00928665661121,46.579626864
143,0.22,0.05,0.02,0.04,0.01,0.05,0.09,0.01,0.19,0.1,0.01,0.08,0.08,0.06,0.18,0.09,0.03,0.05,0.01,0.03,0.01,0.02,0.01,0.15,0.11,0.05,0.17,0.08,0.424788579003,0.0114205242797,37.1951907461
144,0.09,0.04,0.11,0.13,0.1,0.05,0.06,0.09,0.2,0.02,0.24,0.02,0.05,0.01,0.02,0.05,0.19,0.18,0.07,0.04,0.05,0.01,0.02,0.03,0.01,0.07,0.01,0.04,0.394209564946,0.011920581688,33.0696584499
145,0.01,0.1,0.15,0.11,0.03,0.04,0.35,0.04,0.09,0.12,0.07,0.03,0.11,0.1,0.02,0.06,0.01,0.02,0.01,0.03,0.05,0.22,0.01,0.11,0.01,0.05,0.04,0.01,0.403167631944,0.0109216554297,36.9145167176
146,0.08,0.07,0.03,0.01,0.03,0.03,0.1,0.17,0.14,0.08,0.02,0.05,0.2,0.01,0.04,0.04,0.09,0.1,0.04,0.12,0.07,0.05,0.03,0.03,0.07,0.09,0.06,0.15,0.426793703933,0.0099534569492,42.8789420712
147,0.04,0.05,0.1,0.02,0.04,0.04,0.06,0.03,0.03,0.05,0.18,0.15,0.13,0.06,0.08,0.01,0.01,0.1,0.1,0.04,0.12,0.04,0.1,0.23,0.01,0.01,0.13,0.04,0.427451140833,0.00980751048064,43.58406159
148,0.03,0.02,0.12,0.03,0.09,0.03,0.13,0.21,0.08,0.04,0.16,0.08,0.02,0.04,0.32,0.01,0.13,0.01,0.02,0.04,0.03,0.06,0.02,0.08,0.02,0.05,0.07,0.06,0.37876010643,0.0101992672843,37.1360114283
149,0.03,0.2,0.08,0.02,0.09,0.06,0.25,0.04,0.19,0.04,0.02,0.09,0.02,0.01,0.05,0.08,0.07,0.07,0.02,0.04,0.07,0.24,0.02,0.01,0.06,0.09,0.01,0.03,0.40936550971,0.0109500107528,37.3849413441
150,0.01,0.04,0.05,0.07,0.09,0.06,0.05,0.02,0.12,0.01,0.11,0.16,0.03,0.02,0.12,0.05,0.11,0.04,0.05,0.11,0.06,0.04,0.15,0.01,0.01,0.04,0.19,0.18,0.500708194483,0.00828621952968,60.426614657
151,0.08,0.06,0.01,0.01,0.14,0.14,0.04,0.18,0.03,0.01,0.1,0.03,0.17,0.04,0.04,0.02,0.04,0.02,0.06,0.01,0.27,0.14,0.02,0.05,0.07,0.07,0.09,0.06,0.486398354749,0.0105056319131,46.2988194116
152,0.08,0.03,0.03,0.01,0.11,0.09,0.03,0.01,0.03,0.08,0.01,0.01,0.09,0.01,0.12,0.06,0.2,0.05,0.1,0.16,0.08,0.08,0.03,0.16,0.09,0.2,0.03,0.02,0.36394918105,0.011124264095,32.7166972973
153,0.04,0.06,0.02,0.02,0.02,0.25,0.06,0.09,0.01,0.06,0.05,0.12,0.02,0.23,0.15,0.13,0.12,0.05,0.07,0.02,0.08,0.12,0.08,0.01,0.01,0.06,0.01,0.04,0.41429885973,0.0101948498947,40.6380539201
154,0.01,0.19,0.12,0.04,0.06,0.09,0.01,0.01,0.03,0.09,0.11,0.03,0.06,0.08,0.04,0.1,0.1,0.05,0.22,0.04,0.06,0.1,0.07,0.02,0.14,0.02,0.08,0.03,0.418700159783,0.0102781623104,40.7368697961
155,0.02,0.01,0.11,0.18,0.02,0.04,0.02,0.03,0.14,0.03,0.05,0.09,0.04,0.03,0.04,0.01,0.09,0.15,0.04,0.06,0.11,0.15,0.08,0.05,0.17,0.09,0.06,0.09,0.457130634148,0.00982117339432,46.54541935
156,0.12,0.31,0.01,0.02,0.2,0.01,0.02,0.12,0.01,0.03,0.01,0.01,0.12,0.1,0.03,0.03,0.02,0.09,0.05,0.06,0.1,0.03,0.01,0.2,0.07,0.11,0.09,0.02,0.404840143951,0.0115316434384,35.1068905411
157,0.07,0.2,0.03,0.07,0.02,0.07,0.02,0.06,0.06,0.09,0.07,0.04,0.06,0.04,0.15,0.02,0.06,0.14,0.01,0.02,0.06,0.22,0.11,0.07,0.01,0.04,0.14,0.05,0.424950871899,0.0108938655627,39.0082720824
158,0.01,0.01,0.18,0.04,0.13,0.06,0.16,0.06,0.06,0.02,0.03,0.01,0.02,0.06,0.02,0.23,0.03,0.05,0.08,0.05,0.04,0.11,0.04,0.11,0.15,0.08,0.15,0.01,0.437314626654,0.010450041538,41.8481232886
159,0.03,0.17,0.05,0.01,0.06,0.06,0.05,0.14,0.14,0.01,0.02,0.22,0.03,0.07,0.17,0.03,0.09,0.04,0.08,0.03,0.05,0.02,0.09,0.08,0.06,0.03,0.1,0.07,0.432952695047,0.00931155955159,46.4962601214
160,0.09,0.01,0.06,0.02,0.05,0.03,0.05,0.01,0.17,0.2,0.03,0.17,0.17,0.05,0.01,0.04,0.02,0.02,0.05,0.05,0.1,0.06,0.14,0.1,0.18,0.03,0.05,0.04,0.475829986473,0.00982512527156,48.429915479
161,0.14,0.18,0.02,0.02,0.09,0.11,0.06,0.03,0.1,0.12,0.01,0.1,0.2,0.05,0.03,0.06,0.04,0.05,0.12,0.06,0.06,0.02,0.04,0.05,0.04,0.13,0.05,0.02,0.400483032376,0.0112559244289,35.5797549019
162,0.07,0.01,0.12,0.03,0.02,0.04,0.06,0.14,0.06,0.02,0.01,0.02,0.03,0.23,0.23,0.05,0.11,0.04,0.03,0.05,0.15,0.01,0.05,0.22,0.03,0.05,0.04,0.08,0.429323122204,0.0100449851038,42.7400456812
163,0.03,0.07,0.04,0.02,0.02,0.09,0.03,0.25,0.04,0.07,0.02,0.04,0.08,0.02,0.03,0.04,0.09,0.06,0.03,0.09,0.05,0.22,0.11,0.11,0.26,0.07,0.01,0.01,0.394784032218,0.0108491418943,36.3885029863
164,0.09,0.02,0.02,0.1,0.05,0.02,0.01,0.12,0.16,0.04,0.1,0.02,0.18,0.11,0.11,0.2,0.11,0.03,0.01,0.07,0.06,0.06,0.1,0.13,0.02,0.01,0.01,0.04,0.393957570665,0.0104462810032,37.7127104416
165,0.01,0.01,0.05,0.04,0.07,0.02,0.24,0.05,0.06,0.02,0.02,0.1,0.08,0.05,0.15,0.15,0.06,0.02,0.1,0.01,0.12,0.17,0.03,0.07,0.03,0.02,0.1,0.15,0.449372568827,0.008763571683,51.2773313305
166,0.19,0.03,0.09,0.01,0.01,0.02,0.2,0.07,0.18,0.02,0.02,0.07,0.02,0.04,0.03,0.08,0.03,0.01,0.04,0.07,0.07,0.11,0.15,0.09,0.08,0.05,0.03,0.19,0.453465150388,0.0106770980803,42.4708237181
167,0.01,0.15,0.01,0.21,0.01,0.03,0.06,0.03,0.15,0.04,0.06,0.03,0.07,0.17,0.16,0.08,0.01,0.03,0.05,0.09,0.05,0.17,0.02,0.05,0.07,0.14,0.02,0.03,0.403311454291,0.0101797592729,39.6189579222
168,0.07,0.27,0.05,0.1,0.01,0.08,0.07,0.03,0.02,0.03,0.07,0.02,0.03,0.04,0.11,0.04,0.24,0.02,0.03,0.32,0.02,0.03,0.04,0.02,0.05,0.02,0.14,0.03,0.442212950181,0.01154873153,38.2910407982
169,0.08,0.1,0.01,0.01,0.13,0.16,0.02,0.03,0.06,0.07,0.04,0.08,0.05,0.01,0.04,0.04,0.2,0.01,0.08,0.02,0.15,0.04,0.22,0.04,0.15,0.09,0.01,0.06,0.502935011451,0.0103092251886,48.7849476806
170,0.01,0.04,0.24,0.03,0.21,0.14,0.06,0.03,0.01,0.02,0.15,0.37,0.04,0.01,0.02,0.01,0.01,0.05,0.04,0.01,0.05,0.11,0.01,0.05,0.04,0.09,0.07,0.08,0.332573982728,0.00980349710492,33.9240149886
171,0.13,0.16,0.06,0.04,0.03,0.01,0.01,0.01,0.04,0.08,0.05,0.04,0.15,0.08,0.21,0.04,0.02,0.02,0.02,0.24,0.09,0.06,0.02,0.12,0.03,0.05,0.1,0.09,0.399756644787,0.0107426197396,37.212212149
172,0.02,0.07,0.18,0.01,0.02,0.17,0.04,0.05,0.05,0.03,0.04,0.05,0.04,0.23,0.02,0.01,0.25,0.15,0.15,0.02,0.04,0.03,0.05,0.01,0.08,0.06,0.07,0.06,0.43163973784,0.010676175792,40.4301827032
173,0.01,0.03,0.01,0.02,0.07,0.04,0.16,0.06,0.13,0.14,0.06,0.29,0.08,0.18,0.01,0.06,0.03,0.14,0.07,0.04,0.06,0.02,0.04,0.09,0.07,0.04,0.03,0.02,0.456367490409,0.00955290002937,47.7726647411
174,0.15,0.08,0.06,0.13,0.04,0.09,0.07,0.1,0.14,0.01,0.05,0.08,0.02,0.21,0.1,0.02,0.01,0.02,0.07,0.07,0.05,0.01,0.25,0.11,0.01,0.02,0.02,0.01,0.486924771728,0.0112264374913,43.3730443969
175,0.04,0.01,0.21,0.01,0.11,0.03,0.11,0.12,0.21,0.04,0.01,0.03,0.12,0.07,0.01,0.09,0.03,0.1,0.08,0.08,0.02,0.03,0.03,0.04,0.01,0.02,0.3,0.04,0.491655230434,0.0104300630406,47.1382798472
176,0.13,0.03,0.02,0.01,0.06,0.08,0.01,0.09,0.03,0.1,0.11,0.04,0.06,0.04,0.19,0.1,0.06,0.01,0.16,0.04,0.05,0.13,0.06,0.24,0.01,0.07,0.01,0.06,0.293521028858,0.0107780200093,27.2332978231
177,0.01,0.05,0.07,0.07,0.03,0.01,0.14,0.07,0.04,0.17,0.06,0.06,0.16,0.03,0.08,0.08,0.04,0.09,0.04,0.06,0.04,0.08,0.17,0.02,0.13,0.07,0.07,0.06,0.488238293496,0.00981282995009,49.7550957246
178,0.07,0.01,0.28,0.03,0.08,0.1,0.06,0.13,0.11,0.05,0.01,0.07,0.06,0.02,0.09,0.15,0.12,0.07,0.05,0.02,0.05,0.09,0.03,0.06,0.03,0.01,0.09,0.06,0.360637373322,0.010735162302,33.5940308285
179,0.05,0.12,0.13,0.02,0.02,0.03,0.03,0.1,0.01,0.07,0.01,0.05,0.06,0.02,0.08,0.03,0.24,0.02,0.04,0.34,0.04,0.11,0.12,0.09,0.02,0.06,0.06,0.03,0.389857598752,0.0112232724084,34.7365353497
180,0.04,0.09,0.04,0.1,0.07,0.18,0.03,0.03,0.09,0.07,0.1,0.01,0.04,0.03,0.05,0.18,0.01,0.15,0.06,0.07,0.03,0.05,0.07,0.19,0.03,0.01,0.01,0.17,0.33320624902,0.00923717024269,36.072329541
181,0.21,0.11,0.16,0.07,0.08,0.1,0.04,0.11,0.06,0.04,0.01,0.1,0.01,0.08,0.17,0.06,0.07,0.02,0.01,0.05,0.04,0.12,0.01,0.1,0.03,0.06,0.06,0.02,0.339175136916,0.0124032692625,27.3456239429
182,0.06,0.02,0.02,0.08,0.06,0.05,0.03,0.18,0.09,0.37,0.1,0.02,0.03,0.09,0.07,0.15,0.03,0.03,0.01,0.04,0.08,0.13,0.08,0.06,0.01,0.02,0.02,0.07,0.41189808295,0.00988161575512,41.6832725697
183,0.04,0.03,0.05,0.09,0.1,0.06,0.11,0.08,0.06,0.02,0.06,0.02,0.01,0.02,0.31,0.04,0.03,0.01,0.27,0.21,0.03,0.03,0.08,0.02,0.08,0.05,0.06,0.03,0.42618825325,0.0108479740811,39.2873591019
184,0.02,0.1,0.03,0.05,0.02,0.04,0.3,0.04,0.01,0.05,0.03,0.12,0.01,0.03,0.04,0.11,0.01,0.11,0.08,0.09,0.02,0.16,0.1,0.06,0.02,0.21,0.09,0.05,0.449397175751,0.0109439998279,41.0633390733
185,0.05,0.07,0.02,0.05,0.17,0.01,0.04,0.05,0.18,0.23,0.05,0.07,0.01,0.02,0.05,0.04,0.02,0.2,0.02,0.06,0.01,0.08,0.02,0.07,0.16,0.12,0.05,0.08,0.41225523851,0.0102179424275,40.3462087827
186,0.02,0.03,0.07,0.02,0.05,0.03,0.03,0.12,0.02,0.05,0.02,0.19,0.07,0.04,0.24,0.03,0.09,0.04,0.06,0.09,0.14,0.08,0.02,0.05,0.07,0.07,0.02,0.24,0.39331939406,0.00797757464504,49.3031292793
187,0.02,0.01,0.08,0.05,0.13,0.05,0.31,0.12,0.11,0.04,0.08,0.03,0.02,0.08,0.04,0.11,0.02,0.01,0.01,0.04,0.12,0.02,0.1,0.01,0.06,0.01,0.08,0.24,0.544098737018,0.00859527605262,63.3020665871
188,0.05,0.04,0.09,0.05,0.02,0.1,0.04,0.17,0.12,0.06,0.01,0.1,0.07,0.05,0.09,0.06,0.01,0.06,0.07,0.09,0.05,0.02,0.26,0.04,0.06,0.03,0.05,0.14,0.478458972066,0.00926075502103,51.6652228657
189,0.05,0.01,0.03,0.06,0.08,0.04,0.08,0.02,0.09,0.17,0.01,0.09,0.06,0.19,0.14,0.01,0.02,0.02,0.1,0.14,0.08,0.04,0.05,0.02,0.32,0.03,0.01,0.04,0.503602558289,0.00997267981209,50.4982179091
190,0.08,0.05,0.02,0.19,0.12,0.01,0.02,0.06,0.04,0.11,0.39,0.03,0.06,0.08,0.02,0.02,0.01,0.07,0.07,0.01,0.11,0.02,0.11,0.01,0.02,0.05,0.2,0.02,0.543853548877,0.0111441278152,48.8018046721
191,0.23,0.01,0.18,0.03,0.05,0.05,0.05,0.08,0.11,0.06,0.11,0.16,0.02,0.04,0.03,0.03,0.07,0.08,0.02,0.09,0.19,0.03,0.02,0.02,0.07,0.03,0.04,0.1,0.455923103083,0.01201418767,37.9487249248
192,0.05,0.02,0.01,0.13,0.13,0.07,0.11,0.06,0.08,0.11,0.03,0.01,0.06,0.01,0.05,0.03,0.07,0.01,0.01,0.16,0.02,0.07,0.02,0.06,0.21,0.32,0.02,0.07,0.409942069774,0.0106084384126,38.6430173632
193,0.03,0.05,0.03,0.05,0.01,0.03,0.01,0.08,0.04,0.21,0.01,0.08,0.13,0.19,0.23,0.04,0.02,0.06,0.05,0.03,0.01,0.08,0.28,0.07,0.13,0.02,0.01,0.02,0.477395945298,0.00996443642921,47.9099795246
194,0.05,0.03,0.22,0.02,0.11,0.14,0.11,0.08,0.06,0.02,0.01,0.13,0.08,0.24,0.12,0.07,0.02,0.06,0.12,0.05,0.01,0.03,0.07,0.01,0.06,0.02,0.02,0.04,0.403049403253,0.0105752674075,38.1124550069
195,0.02,0.05,0.32,0.03,0.01,0.06,0.03,0.24,0.01,0.02,0.02,0.08,0.01,0.13,0.16,0.02,0.13,0.18,0.01,0.07,0.04,0.03,0.02,0.05,0.06,0.11,0.04,0.05,0.365235891298,0.0113598932404,32.1513489227
196,0.01,0.1,0.04,0.05,0.09,0.07,0.06,0.06,0.07,0.03,0.03,0.31,0.05,0.02,0.07,0.25,0.17,0.05,0.08,0.09,0.02,0.07,0.04,0.02,0.05,0.03,0.05,0.02,0.37546644784,0.00958954400986,39.1537332176
197,0.02,0.01,0.07,0.09,0.02,0.08,0.04,0.07,0.09,0.35,0.09,0.11,0.02,0.02,0.03,0.05,0.01,0.08,0.01,0.11,0.07,0.01,0.09,0.07,0.02,0.25,0.07,0.05,0.436991079912,0.0102336378261,42.7014408109
198,0.02,0.07,0.2,0.04,0.04,0.03,0.03,0.01,0.04,0.04,0.01,0.08,0.01,0.02,0.02,0.02,0.02,0.01,0.07,0.04,0.23,0.07,0.11,0.24,0.06,0.27,0.16,0.04,0.475003482436,0.0104728301149,45.3557899081
199,0.03,0.05,0.01,0.05,0.04,0.18,0.08,0.06,0.01,0.01,0.03,0.12,0.01,0.07,0.06,0.11,0.11,0.09,0.16,0.04,0.03,0.03,0.04,0.03,0.26,0.1,0.04,0.15,0.424601335732,0.00933550913477,45.4823973286
200,0.07,0.19,0.06,0.06,0.04,0.01,0.03,0.01,0.02,0.05,0.05,0.02,0.19,0.05,0.06,0.01,0.02,0.15,0.06,0.19,0.06,0.02,0.26,0.07,0.06,0.05,0.1,0.04,0.512817749638,0.010979360734,46.7074324328
201,0.05,0.11,0.04,0.06,0.16,0.01,0.06,0.05,0.32,0.03,0.08,0.05,0.08,0.03,0.08,0.01,0.08,0.03,0.01,0.01,0.13,0.02,0.01,0.12,0.05,0.13,0.03,0.16,0.424647178233,0.00898657234772,47.2535202302
