,a,b,c,d,f,g,l,m,p,portfolioreturn,portfoliostandarddeviation,s,w,returnoverrisk
187,0.016,0.0245,0.02,0.0285,0.025,0.041,0.012,0.0415,0.041,0.02472135991,0.00232433791673,0.0205,0.0365,10.6358717173
188,0.046,0.041,0.0405,0.037,0.0265,0.0435,0.03,0.0275,0.0125,0.0664728435595,0.00314061869728,0.049,0.049,21.1655250021
189,0.016,0.013,0.034,0.02,0.035,0.0485,0.031,0.0175,0.019,0.0333151770656,0.00243832857691,0.038,0.03,13.6631204593
190,0.023,0.016,0.0425,0.0225,0.031,0.022,0.0185,0.0185,0.032,0.0324795806777,0.00221428427066,0.021,0.0335,14.6682072885
191,0.016,0.0395,0.019,0.019,0.0425,0.0125,0.026,0.015,0.045,0.0170286653928,0.00246857371101,0.0355,0.02,6.8981798343
192,0.0275,0.03,0.0315,0.0425,0.0475,0.0485,0.0235,0.0165,0.038,0.0377060512445,0.00250694366192,0.0225,0.03,15.0406456345
193,0.0495,0.0405,0.047,0.0335,0.033,0.0125,0.0425,0.038,0.0245,0.0331875621419,0.0029496759805,0.047,0.021,11.2512568707
194,0.0325,0.02,0.048,0.0475,0.0295,0.0125,0.043,0.0295,0.037,0.0419852452902,0.00322587378311,0.04,0.0495,13.0151543777
195,0.0195,0.023,0.034,0.035,0.0255,0.023,0.0495,0.0145,0.014,0.039583759517,0.00223972143106,0.01,0.029,17.6735191118
196,0.0445,0.0335,0.047,0.0125,0.0315,0.049,0.0195,0.0245,0.0365,0.0283718355637,0.00278750309557,0.046,0.0125,10.1782256704
197,0.042,0.0275,0.035,0.019,0.048,0.0205,0.0455,0.016,0.019,0.0360637420375,0.00273259349043,0.0425,0.024,13.1976242218
198,0.0175,0.048,0.048,0.0215,0.0395,0.0485,0.024,0.0355,0.0365,0.0275556596136,0.0027331379445,0.0375,0.0155,10.0820595862
199,0.021,0.0435,0.0165,0.022,0.0165,0.0295,0.0155,0.025,0.02,0.0481141184056,0.00254678295839,0.0425,0.045,18.8921157365
200,0.0385,0.0455,0.016,0.022,0.038,0.0275,0.0415,0.013,0.0335,0.0274373946267,0.00231629166759,0.016,0.01,11.8453971107
201,0.0225,0.039,0.022,0.0295,0.043,0.0365,0.0435,0.0365,0.0275,0.0319404127117,0.0025337040309,0.017,0.027,12.6062130076
202,0.0295,0.0215,0.019,0.0485,0.02,0.041,0.0445,0.0375,0.024,0.036571450583,0.00253705733114,0.0155,0.037,14.4149090106
203,0.026,0.0485,0.0455,0.0475,0.0425,0.0285,0.033,0.033,0.0135,0.0536719476226,0.00248290240133,0.017,0.0355,21.6166159386
204,0.0295,0.015,0.048,0.043,0.02,0.022,0.035,0.031,0.03,0.0308722010972,0.00287741959744,0.0475,0.035,10.7291272794
205,0.013,0.0155,0.036,0.033,0.017,0.0355,0.018,0.0365,0.016,0.0286355214075,0.00186899857471,0.0175,0.029,15.321317948
206,0.016,0.0315,0.025,0.023,0.022,0.03,0.0215,0.0355,0.0105,0.0432884511513,0.00212896287524,0.0205,0.0405,20.3331169626
207,0.0425,0.017,0.0365,0.0335,0.031,0.02,0.035,0.016,0.0105,0.0346892545785,0.00188347271994,0.011,0.018,18.417710122
208,0.031,0.023,0.0215,0.0275,0.027,0.0405,0.0385,0.015,0.0265,0.024679568278,0.00239523328105,0.0355,0.016,10.3036178034
209,0.03,0.0245,0.0485,0.016,0.038,0.0185,0.042,0.018,0.047,0.0248388747498,0.00295519001818,0.0355,0.025,8.40517008959
210,0.0435,0.0315,0.0455,0.0335,0.0445,0.045,0.0475,0.0475,0.049,0.0402002203423,0.0037067376611,0.0415,0.044,10.8451754663
211,0.047,0.0155,0.0375,0.0435,0.0485,0.0475,0.049,0.0445,0.024,0.0297662499405,0.00285752829082,0.027,0.024,10.4167822366
212,0.0315,0.013,0.0425,0.011,0.037,0.0415,0.029,0.02,0.0305,0.0231972593565,0.00248414533163,0.037,0.018,9.33812489191
213,0.0405,0.047,0.041,0.043,0.032,0.018,0.033,0.0445,0.01,0.052220648098,0.00239306530351,0.0115,0.0355,21.8216561084
214,0.0155,0.0255,0.0425,0.046,0.019,0.0175,0.041,0.016,0.0375,0.0206056946159,0.00253090242779,0.034,0.019,8.14163927843
215,0.0375,0.012,0.0175,0.0425,0.022,0.026,0.022,0.0385,0.03,0.0078485639877,0.0023454306798,0.046,0.0155,3.34632102125
216,0.0135,0.0455,0.0165,0.034,0.0105,0.012,0.049,0.045,0.0125,0.0229015048986,0.00212355643195,0.0155,0.0175,10.784504972
217,0.0355,0.0465,0.045,0.012,0.035,0.022,0.0415,0.04,0.038,0.0381380948064,0.00314195669921,0.0375,0.0335,12.1383260361
218,0.0485,0.0485,0.045,0.0145,0.0185,0.049,0.044,0.036,0.0215,0.0601982841457,0.00326992277109,0.0405,0.04,18.4096959959
219,0.0465,0.016,0.0435,0.0405,0.029,0.0215,0.014,0.038,0.0115,0.0255531290807,0.00226766076035,0.046,0.018,11.2684972671
220,0.036,0.033,0.033,0.041,0.045,0.0185,0.0275,0.0135,0.03,0.043920007343,0.00255624760569,0.03,0.0365,17.1814370584
221,0.0325,0.01,0.0295,0.0105,0.025,0.0425,0.04,0.029,0.0405,0.0333299577398,0.00318617048991,0.0435,0.0445,10.460820551
222,0.0325,0.0125,0.0135,0.0365,0.0255,0.048,0.0205,0.017,0.045,0.0295955966774,0.0028333405379,0.044,0.039,10.445478149
223,0.0175,0.049,0.0245,0.0245,0.024,0.037,0.024,0.0165,0.0215,0.0417504073551,0.00256138653389,0.048,0.029,16.2999245926
224,0.0335,0.0135,0.0105,0.04,0.0305,0.0415,0.015,0.041,0.0485,0.021907953381,0.00244772377223,0.0155,0.038,8.95033730096
225,0.012,0.0345,0.042,0.0185,0.0495,0.031,0.026,0.032,0.0305,0.0385431233884,0.00298124709707,0.0475,0.042,12.9285235787
226,0.02,0.0135,0.0245,0.0245,0.0335,0.033,0.023,0.0375,0.0435,0.0203215680502,0.00239401093746,0.016,0.035,8.48850259294
227,0.018,0.0135,0.019,0.016,0.021,0.0115,0.025,0.011,0.026,0.0266797608354,0.00220817255599,0.036,0.0345,12.0822807815
228,0.0405,0.0265,0.023,0.0465,0.0485,0.0355,0.0355,0.0225,0.02,0.0279576839373,0.00234161146638,0.032,0.0155,11.9395059081
229,0.027,0.038,0.0305,0.0235,0.02,0.0375,0.021,0.0325,0.0325,0.0362700019536,0.00233875606593,0.021,0.0305,15.508244952
230,0.0155,0.034,0.011,0.0205,0.0265,0.013,0.023,0.046,0.049,-0.00490597091695,0.00233869813991,0.031,0.0105,-2.09773584424
231,0.022,0.0365,0.011,0.017,0.015,0.0435,0.0125,0.037,0.0485,0.0353382562893,0.00296150210053,0.04,0.0485,11.9325447323
232,0.0325,0.016,0.0145,0.03,0.044,0.021,0.042,0.037,0.021,0.0274072591649,0.00263514517084,0.036,0.036,10.4006638679
233,0.028,0.0255,0.0335,0.039,0.0355,0.0445,0.014,0.041,0.0405,0.0297361490827,0.00271566304674,0.036,0.0355,10.9498669647
234,0.02,0.0335,0.016,0.0125,0.0415,0.018,0.0355,0.0115,0.0145,0.0367546736731,0.00226166371804,0.0335,0.03,16.2511665107
235,0.023,0.0425,0.0385,0.0365,0.0345,0.035,0.045,0.0495,0.041,0.0367398879684,0.00324612158349,0.0335,0.0405,11.3180874541
236,0.026,0.0115,0.0415,0.033,0.0115,0.023,0.031,0.0325,0.04,0.0140584306447,0.0023636908935,0.026,0.0205,5.94766036598
237,0.031,0.017,0.0435,0.0485,0.036,0.0165,0.033,0.0235,0.028,0.0273108767186,0.00236359725172,0.028,0.025,11.5547928898
238,0.0365,0.0475,0.029,0.0255,0.0145,0.017,0.0115,0.044,0.0365,0.0267160150548,0.00221912222536,0.0225,0.0225,12.0390011643
239,0.041,0.037,0.029,0.0435,0.011,0.0215,0.0175,0.0365,0.0245,0.0265696400541,0.00223835918078,0.0375,0.018,11.8701414332
240,0.031,0.037,0.0275,0.033,0.034,0.025,0.011,0.013,0.0205,0.0280223161854,0.00206098810604,0.0415,0.013,13.5965443484
241,0.0145,0.015,0.0405,0.0325,0.0155,0.014,0.016,0.0495,0.036,0.00778125624165,0.0018699879792,0.0105,0.02,4.16112634317
242,0.021,0.03,0.0205,0.0155,0.026,0.0275,0.025,0.0415,0.0325,0.0324594016195,0.00278490062028,0.041,0.044,11.6554972853
243,0.0375,0.036,0.02,0.024,0.0205,0.0255,0.0485,0.027,0.0425,0.0355265905817,0.00297762747535,0.0275,0.036,11.9311736864
244,0.034,0.0155,0.0185,0.0345,0.0165,0.049,0.013,0.019,0.011,0.0279465164282,0.00168877099459,0.027,0.015,16.5484346413
245,0.0425,0.0335,0.047,0.044,0.0375,0.0445,0.037,0.038,0.044,0.052738229863,0.00314515142074,0.0105,0.048,16.7681051905
246,0.0225,0.0345,0.049,0.0205,0.031,0.0135,0.049,0.0135,0.021,0.0573861021089,0.00296969512054,0.0285,0.049,19.323903559
247,0.0335,0.038,0.013,0.035,0.016,0.037,0.04,0.0125,0.0165,0.0474421036149,0.00222979533546,0.0165,0.0305,21.2764386311
248,0.02,0.026,0.0205,0.049,0.0385,0.039,0.049,0.033,0.0455,0.0115484645697,0.00270824219504,0.0205,0.0155,4.26419195111
249,0.032,0.0495,0.0185,0.025,0.0425,0.0285,0.0115,0.022,0.043,0.0224044572205,0.00204508198473,0.0115,0.011,10.9552856012
250,0.021,0.023,0.0455,0.0445,0.036,0.0105,0.0385,0.01,0.048,0.0178440350957,0.00292048180869,0.047,0.021,6.10996276113
251,0.033,0.042,0.047,0.021,0.049,0.0115,0.0325,0.0185,0.0125,0.0358251113392,0.00197783753987,0.0125,0.0115,18.1132730151
252,0.0185,0.0365,0.0495,0.0115,0.042,0.0465,0.03,0.045,0.0455,0.0407637480326,0.00309030871375,0.021,0.044,13.1908336055
253,0.045,0.0235,0.0405,0.0465,0.0395,0.0265,0.0195,0.0415,0.046,0.0278878257054,0.00281058119581,0.0315,0.033,9.92244086278
254,0.04,0.02,0.012,0.0125,0.0365,0.041,0.014,0.0405,0.02,0.0189062096024,0.00220219553231,0.041,0.019,8.58516390803
255,0.046,0.0485,0.0485,0.036,0.0455,0.017,0.047,0.037,0.043,0.0486139838513,0.00322744596814,0.0185,0.0405,15.0626793853
256,0.0475,0.023,0.0465,0.0365,0.0275,0.021,0.047,0.028,0.026,0.0429700866329,0.00289791607492,0.0315,0.0355,14.8279265244
257,0.018,0.0105,0.017,0.0435,0.0465,0.014,0.0195,0.011,0.0475,0.00394923943225,0.00218617003951,0.0295,0.0165,1.80646489563
258,0.0235,0.013,0.012,0.022,0.0315,0.0385,0.0225,0.0265,0.026,0.0265636128935,0.0020021677437,0.016,0.0315,13.2674262569
259,0.0425,0.0445,0.043,0.0425,0.0225,0.019,0.025,0.048,0.0405,0.043560273733,0.00330664882266,0.049,0.046,13.1735409682
260,0.028,0.018,0.0285,0.046,0.0315,0.0185,0.034,0.0345,0.01,0.0248087046195,0.00208954939634,0.03,0.022,11.8727533616
261,0.0495,0.0405,0.0425,0.032,0.0475,0.0435,0.047,0.015,0.03,0.0445732327095,0.00309088767229,0.041,0.022,14.420851689
262,0.0135,0.0395,0.0105,0.04,0.0205,0.025,0.0145,0.0205,0.021,0.0410046324659,0.00221292325047,0.0345,0.0405,18.529622506
263,0.026,0.0485,0.0175,0.0295,0.049,0.01,0.018,0.0165,0.0205,0.031859291183,0.00210824268167,0.0365,0.021,15.1117760114
264,0.0325,0.023,0.016,0.0415,0.015,0.0295,0.0455,0.0295,0.02,0.0450433169048,0.0028356501207,0.0345,0.0475,15.8846525444
265,0.0355,0.0185,0.0295,0.0285,0.0425,0.0235,0.0325,0.0155,0.0495,0.0117357188054,0.00276705761213,0.0415,0.015,4.24122676521
266,0.0175,0.021,0.044,0.027,0.013,0.043,0.0475,0.0455,0.039,0.0213030017687,0.00296517980245,0.034,0.0275,7.18438785773
267,0.0245,0.0415,0.0335,0.044,0.0305,0.0465,0.019,0.02,0.018,0.0402800212894,0.00232243127836,0.039,0.022,17.3439023426
268,0.0405,0.037,0.0325,0.021,0.018,0.0135,0.0395,0.036,0.012,0.0479082189293,0.00286514997307,0.0455,0.0415,16.7210161351
269,0.0435,0.0165,0.0365,0.015,0.012,0.0465,0.0105,0.0215,0.04,0.042162090109,0.00284022800141,0.041,0.0425,14.8446146183
270,0.0295,0.025,0.043,0.0365,0.049,0.028,0.011,0.0405,0.0155,0.020239639072,0.00212514986851,0.038,0.013,9.52386435042
271,0.0185,0.041,0.0435,0.0165,0.012,0.039,0.026,0.0225,0.0385,0.0369702206616,0.00295108854713,0.0495,0.0315,12.5276554977
272,0.023,0.0325,0.046,0.0225,0.049,0.0345,0.029,0.0405,0.011,0.0461328986787,0.00279037727789,0.0415,0.04,16.5328534762
273,0.039,0.0235,0.038,0.015,0.0265,0.0315,0.0365,0.022,0.044,0.0180712330464,0.00280628398994,0.0405,0.0145,6.43955961377
274,0.0245,0.033,0.034,0.0235,0.031,0.0315,0.032,0.0225,0.04,0.024000310524,0.00273651017246,0.042,0.0215,8.77040793251
275,0.0365,0.011,0.01,0.0185,0.0475,0.0145,0.0415,0.025,0.028,0.0364883797559,0.0025567916739,0.0105,0.047,14.2711587058
276,0.0435,0.0485,0.0175,0.011,0.036,0.042,0.0125,0.0255,0.011,0.0348518154347,0.00209178092069,0.037,0.0105,16.6613124204
277,0.017,0.0415,0.032,0.029,0.028,0.013,0.028,0.027,0.017,0.0353976031147,0.00236225757944,0.04,0.0295,14.9846500326
278,0.0165,0.0245,0.014,0.0255,0.016,0.0405,0.046,0.0495,0.011,0.0108753469823,0.00248536680935,0.0465,0.012,4.37575127398
279,0.0355,0.0495,0.047,0.038,0.0285,0.0105,0.0405,0.027,0.0305,0.0292950834579,0.00265054929264,0.0355,0.013,11.0524575186
280,0.026,0.027,0.0165,0.0445,0.017,0.049,0.0425,0.03,0.0175,0.0378397505876,0.00235743387597,0.0185,0.03,16.0512457946
281,0.0265,0.041,0.0465,0.0295,0.033,0.042,0.0155,0.011,0.013,0.0462747038337,0.00244104947976,0.048,0.0225,18.956888919
282,0.039,0.0215,0.01,0.0105,0.0455,0.024,0.028,0.0495,0.049,0.0165575700992,0.00292799968401,0.0355,0.037,5.65490843102
283,0.0325,0.04,0.0205,0.0115,0.0435,0.0435,0.0135,0.011,0.038,0.0443029587969,0.00236189318364,0.018,0.034,18.7573930539
284,0.03,0.034,0.0255,0.047,0.014,0.045,0.0245,0.0155,0.035,0.0408052059307,0.00249878953021,0.0305,0.032,16.3299891557
285,0.019,0.0245,0.011,0.035,0.0235,0.0365,0.033,0.0285,0.0485,0.0179384630383,0.00269667869888,0.0325,0.03,6.65205797253
286,0.042,0.0355,0.028,0.043,0.046,0.0145,0.0495,0.044,0.04,0.0146247371466,0.0031704181917,0.0495,0.0175,4.61287321177
287,0.033,0.011,0.047,0.024,0.0425,0.0425,0.025,0.0195,0.048,0.0284433383104,0.00282226784987,0.031,0.031,10.0781852834
288,0.042,0.0285,0.04,0.029,0.036,0.016,0.0435,0.0355,0.037,0.0404743268285,0.00330025575378,0.044,0.045,12.2639970499
289,0.0205,0.0405,0.027,0.0155,0.0465,0.03,0.0195,0.022,0.039,0.0184302001598,0.00246088588812,0.0395,0.014,7.48925427575
290,0.029,0.021,0.0115,0.0165,0.0335,0.041,0.015,0.014,0.0465,0.0227480447204,0.00219052828713,0.0165,0.0255,10.3847299549
291,0.037,0.0365,0.0145,0.0165,0.0375,0.0395,0.0175,0.021,0.0345,0.0334125422262,0.00250603077934,0.0375,0.028,13.3328538906
292,0.015,0.0245,0.014,0.0185,0.0265,0.0425,0.0195,0.0205,0.0325,0.0281513856003,0.002245919623,0.0295,0.0315,12.5344581846
293,0.0195,0.0485,0.0335,0.0485,0.031,0.038,0.0305,0.0335,0.042,0.021399903876,0.00292250634152,0.049,0.016,7.32244908143
294,0.0315,0.0155,0.0135,0.0465,0.043,0.031,0.026,0.0305,0.0475,0.0131573788362,0.00254696236434,0.03,0.0255,5.16591019187
295,0.026,0.0365,0.015,0.014,0.01,0.0365,0.0335,0.037,0.0265,0.0210286635416,0.00205835859619,0.015,0.0145,10.2162293687
296,0.0405,0.0225,0.014,0.0195,0.0345,0.0425,0.0355,0.0365,0.041,0.0268104728751,0.0030552699347,0.045,0.035,8.77515684314
297,0.047,0.041,0.0115,0.015,0.0325,0.0405,0.0265,0.0475,0.0215,0.0188828135408,0.00258578283502,0.0485,0.01,7.30255197188
298,0.0395,0.0105,0.039,0.0315,0.0315,0.036,0.041,0.0305,0.04,0.0131721999873,0.00280523725132,0.04,0.0145,4.69557431592
299,0.0455,0.0305,0.012,0.019,0.037,0.0315,0.038,0.0175,0.0225,0.037807451331,0.00278487969156,0.0485,0.0305,13.575972939
300,0.039,0.035,0.0385,0.015,0.0355,0.02,0.031,0.035,0.0455,0.0179458812614,0.00287999120253,0.042,0.0175,6.23122780572
301,0.045,0.0335,0.01,0.0335,0.0325,0.0155,0.0475,0.039,0.0225,0.0267546276991,0.0023625378724,0.016,0.0225,11.3245285977
302,0.047,0.0495,0.049,0.0175,0.016,0.0375,0.0415,0.039,0.0175,0.0478217462586,0.00299467798386,0.0435,0.0255,15.9689110203
303,0.027,0.0275,0.046,0.049,0.0275,0.014,0.029,0.022,0.014,0.0566271367794,0.00240783250151,0.0135,0.0485,23.5178887003
304,0.028,0.0295,0.0155,0.031,0.02,0.045,0.0165,0.0355,0.021,0.0299915404902,0.00229290104411,0.04,0.0275,13.0801721981
305,0.0315,0.026,0.026,0.035,0.044,0.0325,0.0135,0.0345,0.0185,0.0200250427241,0.00172353565909,0.0165,0.011,11.6185833571
306,0.0275,0.023,0.0355,0.039,0.013,0.041,0.0445,0.034,0.045,0.0184899900971,0.00268469570118,0.02,0.0185,6.88718281516
307,0.014,0.0445,0.029,0.019,0.0345,0.048,0.0375,0.038,0.0375,0.0391892169763,0.00308916755444,0.0375,0.04,12.6860121006
308,0.0195,0.0295,0.027,0.0205,0.024,0.0465,0.0145,0.0355,0.021,0.0177190188297,0.00214695209234,0.041,0.0115,8.25310396672
309,0.041,0.033,0.0115,0.0135,0.023,0.035,0.0285,0.049,0.044,0.0295904616365,0.0026118183476,0.012,0.037,11.3294485674
310,0.0175,0.021,0.0345,0.0145,0.0265,0.011,0.0425,0.0435,0.0425,0.00611991308698,0.00263659691737,0.031,0.02,2.3211409551
311,0.023,0.032,0.035,0.0295,0.0235,0.047,0.0385,0.0405,0.021,0.0363574305303,0.00274117547456,0.0375,0.031,13.2634451416
312,0.017,0.0185,0.037,0.0115,0.046,0.0275,0.0125,0.0205,0.0405,0.0309444704667,0.00242380957082,0.0235,0.0385,12.7668736188
313,0.016,0.0205,0.0125,0.0125,0.011,0.029,0.026,0.0285,0.0345,0.0118787158252,0.00189686497449,0.016,0.018,6.26228855766
314,0.0325,0.0335,0.0125,0.046,0.021,0.0235,0.0145,0.0415,0.048,0.0119753453275,0.0027312288537,0.0485,0.0235,4.3845997421
315,0.0235,0.045,0.0415,0.0315,0.0215,0.0305,0.0345,0.011,0.037,0.0366454446664,0.00230398294582,0.0105,0.0185,15.9052586448
316,0.0365,0.0315,0.0175,0.041,0.022,0.0415,0.0365,0.0385,0.042,0.0424931552195,0.00289852457779,0.0165,0.047,14.6602707961
317,0.0165,0.0125,0.026,0.038,0.024,0.0325,0.036,0.015,0.0135,0.0269877237555,0.00204482768647,0.0295,0.0225,13.1980430107
318,0.0185,0.0385,0.044,0.033,0.0245,0.0395,0.01,0.0235,0.0405,0.0343449260286,0.00269667884922,0.0435,0.03,12.7360089758
319,0.039,0.044,0.028,0.049,0.013,0.018,0.0485,0.0465,0.025,0.0326189386023,0.00282534936375,0.0365,0.027,11.5450991728
320,0.031,0.0495,0.0495,0.04,0.019,0.04,0.022,0.0215,0.0375,0.0549786151304,0.00271454690211,0.021,0.0385,20.2533303395
321,0.044,0.0475,0.0175,0.013,0.043,0.033,0.0275,0.018,0.043,0.0341724255751,0.00286391064849,0.041,0.025,11.9320850995
322,0.0315,0.022,0.0215,0.029,0.013,0.0215,0.046,0.047,0.0245,0.0211120820489,0.00239014254139,0.0205,0.0255,8.83298032784
323,0.017,0.0285,0.035,0.04,0.03,0.042,0.0215,0.0385,0.03,0.0450593136848,0.00266255682954,0.0235,0.049,16.9233246723
324,0.0215,0.0325,0.034,0.026,0.043,0.0405,0.035,0.0375,0.0395,0.0270604489704,0.00306365460085,0.0465,0.031,8.83273491827
325,0.0215,0.0485,0.042,0.045,0.036,0.0205,0.013,0.045,0.022,0.0373931603313,0.00264311967802,0.047,0.033,14.1473580036
326,0.0365,0.045,0.0115,0.0245,0.0145,0.0475,0.049,0.041,0.0395,0.0430858995465,0.00306190521704,0.0195,0.041,14.0715980713
327,0.0495,0.0455,0.0225,0.048,0.0105,0.03,0.023,0.023,0.029,0.0488761959588,0.00247033682474,0.0275,0.034,19.7852355473
328,0.043,0.0325,0.0425,0.0145,0.0345,0.012,0.017,0.028,0.042,0.0330140011709,0.00290205491443,0.0455,0.034,11.3760773467
329,0.032,0.014,0.0175,0.028,0.0135,0.0395,0.033,0.016,0.0355,0.0302130125468,0.00223599519995,0.0125,0.03,13.512109752
330,0.0135,0.0265,0.02,0.014,0.028,0.0205,0.013,0.0135,0.019,0.0371289453119,0.00218998555083,0.0385,0.0385,16.9539681656
331,0.02,0.015,0.01,0.013,0.024,0.0405,0.0415,0.031,0.017,0.0126795219303,0.00198054585765,0.02,0.0115,6.40203400561
332,0.045,0.0305,0.033,0.0395,0.026,0.029,0.039,0.017,0.0355,0.0392726331201,0.00261769056933,0.0225,0.0285,15.0027790069
333,0.031,0.045,0.0375,0.0265,0.0335,0.0465,0.0175,0.045,0.0245,0.0252828624811,0.00260365584132,0.0465,0.0125,9.71052397933
334,0.0435,0.0155,0.0285,0.0295,0.041,0.0205,0.015,0.0315,0.041,0.0261547021363,0.00227557209361,0.014,0.032,11.4936820546
335,0.041,0.013,0.0485,0.0305,0.032,0.019,0.044,0.0115,0.022,0.0293975183733,0.00274600844399,0.0495,0.02,10.705545512
336,0.038,0.0105,0.018,0.0405,0.03,0.018,0.017,0.0195,0.0435,0.024943566765,0.00222066732021,0.015,0.0345,11.232464466
337,0.0185,0.019,0.0375,0.0185,0.0345,0.0105,0.015,0.043,0.021,0.0138461978722,0.00200041241137,0.0335,0.0205,6.92167164806
338,0.013,0.014,0.0275,0.034,0.029,0.0315,0.022,0.0325,0.0385,0.00620967745961,0.00213081360969,0.0275,0.0155,2.91422836393
339,0.022,0.0405,0.0155,0.014,0.0375,0.025,0.0145,0.0495,0.0295,0.0313721441308,0.00222931845934,0.0165,0.0375,14.0725269642
340,0.0285,0.0415,0.043,0.047,0.022,0.039,0.019,0.0325,0.012,0.0467205742741,0.00245181896589,0.04,0.03,19.0554747002
341,0.0455,0.01,0.0165,0.036,0.0345,0.034,0.037,0.0245,0.0205,0.023807471786,0.00254890932654,0.046,0.0225,9.34025841487
342,0.0235,0.019,0.0395,0.0215,0.0175,0.037,0.047,0.0135,0.0355,0.0255870296879,0.00290195469215,0.0465,0.0225,8.8171706323
343,0.0275,0.013,0.0285,0.035,0.016,0.021,0.0115,0.023,0.013,0.028078697191,0.00174617913027,0.0285,0.0255,16.0800783289
344,0.045,0.0255,0.0365,0.025,0.0345,0.0115,0.0305,0.0115,0.031,0.0537052973295,0.00275121565432,0.0235,0.0495,19.5205698417
345,0.0305,0.031,0.023,0.034,0.0125,0.017,0.0195,0.0245,0.032,0.0361333023882,0.00266108654472,0.046,0.04,13.5784018223
346,0.036,0.034,0.0275,0.018,0.037,0.0305,0.0335,0.0255,0.0335,0.0249650254287,0.0025220496772,0.033,0.0175,9.89870487266
347,0.0335,0.018,0.0225,0.0405,0.0485,0.022,0.039,0.037,0.048,0.026547398757,0.00295105683556,0.023,0.042,8.99589544909
348,0.0215,0.0485,0.041,0.049,0.017,0.033,0.013,0.046,0.014,0.0481771787551,0.00212459607262,0.014,0.035,22.6759238501
349,0.011,0.0485,0.0405,0.048,0.021,0.017,0.028,0.049,0.02,0.0465611262128,0.00270290109492,0.032,0.047,17.2263521963
350,0.042,0.0155,0.0125,0.017,0.0485,0.0235,0.03,0.0325,0.0165,0.0219796091712,0.00237705138441,0.043,0.024,9.24658562928
351,0.03,0.013,0.0185,0.032,0.0285,0.043,0.029,0.0105,0.035,0.0396223502486,0.00290660145688,0.046,0.045,13.6318483412
352,0.0485,0.0115,0.042,0.014,0.049,0.039,0.0255,0.015,0.0115,0.0427264879316,0.0021172510165,0.0165,0.025,20.1801711742
353,0.0115,0.0335,0.044,0.016,0.0485,0.046,0.0415,0.029,0.049,0.0323276196364,0.00293309875083,0.012,0.0325,11.0216608381
354,0.0355,0.033,0.0245,0.0385,0.021,0.013,0.037,0.0475,0.0235,0.0304922409318,0.00282464039597,0.047,0.0355,10.7950877483
355,0.03,0.026,0.0285,0.044,0.026,0.038,0.015,0.02,0.0435,0.0310803651424,0.00252907980666,0.0325,0.0315,12.2891990441
356,0.038,0.026,0.0405,0.017,0.0235,0.029,0.039,0.027,0.0145,0.0466173389959,0.00255688762339,0.0275,0.0355,18.2320640804
357,0.0455,0.046,0.029,0.03,0.015,0.02,0.0485,0.012,0.0305,0.0569655070995,0.00284047424417,0.0195,0.041,20.0549282277
358,0.024,0.011,0.0145,0.0355,0.0225,0.049,0.0315,0.042,0.016,0.0297290312927,0.00243925198463,0.035,0.0365,12.1877655445
359,0.014,0.0315,0.037,0.048,0.0475,0.044,0.042,0.0235,0.027,0.0503060319396,0.0027871121196,0.015,0.045,18.0495185629
360,0.0475,0.024,0.017,0.0135,0.046,0.039,0.0415,0.0315,0.031,0.0239225621656,0.00264413104031,0.0305,0.0195,9.04741928479
361,0.0455,0.012,0.0195,0.04,0.0295,0.0205,0.036,0.049,0.0265,0.0216268477991,0.00229068664893,0.015,0.029,9.44120742535
362,0.0225,0.027,0.0255,0.0115,0.0455,0.045,0.0335,0.0395,0.044,0.0290488712929,0.00269037219084,0.0105,0.0355,10.7973429817
363,0.017,0.0185,0.041,0.011,0.022,0.0285,0.041,0.03,0.0145,0.0325587960609,0.00257477789666,0.04,0.0315,12.6452833478
364,0.026,0.036,0.045,0.0195,0.048,0.026,0.0365,0.0445,0.035,0.0190730182657,0.00280243434948,0.038,0.0175,6.80587513825
365,0.0145,0.034,0.049,0.034,0.044,0.0175,0.0275,0.0155,0.0385,0.0321828707654,0.00247655134221,0.025,0.028,12.9950347553
366,0.014,0.023,0.03,0.023,0.024,0.0115,0.0455,0.0325,0.0405,0.0261840219325,0.00263706633911,0.013,0.0385,9.92922382885
367,0.0315,0.04,0.036,0.028,0.045,0.0435,0.016,0.0105,0.024,0.0348097168914,0.00219106625883,0.0325,0.0125,15.8871128388
368,0.028,0.021,0.0245,0.0435,0.0165,0.036,0.021,0.036,0.0195,0.0180338352658,0.00209132982277,0.038,0.015,8.62314259066
369,0.039,0.0485,0.033,0.0235,0.037,0.0315,0.0195,0.0105,0.018,0.0538279702548,0.00209746168308,0.015,0.028,25.6633866968
370,0.0215,0.0145,0.0315,0.0135,0.0105,0.0155,0.0465,0.0415,0.036,0.0233495059308,0.00294198537601,0.038,0.0405,7.93664921697
371,0.0455,0.04,0.042,0.042,0.017,0.0215,0.0405,0.0285,0.0315,0.038029625046,0.0024782009282,0.0135,0.022,15.3456584627
372,0.0285,0.044,0.046,0.033,0.0365,0.011,0.028,0.03,0.0125,0.0355061800897,0.00217092589606,0.029,0.0185,16.3553164823
373,0.0285,0.022,0.0225,0.047,0.0475,0.0285,0.016,0.047,0.0405,0.011335845527,0.00222923935952,0.021,0.021,5.08507329131
